,desc_sub,review,est_price,name,roaster,roast,loc_country,origin,100g_USD,rating,review_date
0,"Deeply chocolaty, richly sweet. Dark chocolate, ca","Deeply chocolaty, richly sweet. Dark chocolate, cantaloupe, pipe tobacco, hazelnut, cedar in aroma and cup. Sweet structure with brisk acidity; crisp, velvety mouthfeel. The finish consolidates to notes of pipe tobacco and hazelnut.",$25.99/10 ounces,El Salvador La Lagunita,Chromatic Coffee,Medium-Light,United States,El Salvador,9.17,92,November 2022
1,"Crisply chocolaty, sweetly herb-toned. Cocoa nib, ","Crisply chocolaty, sweetly herb-toned. Cocoa nib, orange zest, fennel, red apple, cedar in aroma and cup. Sweet-savory structure with citrusy acidity; very full, satiny mouthfeel. The finish leads with notes of cocoa nib and orange zest.",NT $550/200 grams,El Salvador Finca Santa Elena El Corzo Pacamara,GK Coffee,Medium-Light,Taiwan,El Salvador,8.8,92,November 2022
2,"Crisply sweet, deeply nut-toned. Dried apricot, sa","Crisply sweet, deeply nut-toned. Dried apricot, saltwater taffy, cocoa powder, cashew, maple syrup in aroma and cup. Sweet-savory structure with brisk acidity; delicate, silky mouthfeel. Cocoa powder and cashew lead in the quiet finish.",NT $380/200 grams,Panama Mama Cata Typica,Small Eyes Cafe,Light,Taiwan,Panama,6.08,92,November 2022
3,"Crisp, nutty, sweetly herb-toned. Lemon balm, pral","Crisp, nutty, sweetly herb-toned. Lemon balm, praline, golden raisin, baking chocolate, magnolia in aroma and cup. Richly sweet structure with balanced, high-toned acidity; crisp, satiny mouthfeel. Gently drying finish with notes of cocoa-toned raisin and praline.",$20.00/12 ounces,Costa Rica Finca San Luis,Tico Coffee Roasters,Medium-Light,United States,Costa Rica,5.88,91,November 2022
4,"Richly chocolaty, sweetly fermenty. Cherry cordial","Richly chocolaty, sweetly fermenty. Cherry cordial, chocolate fudge, almond brittle, fine musk, gardenia in aroma and cup. Brightly sweet structure with juicy, winey acidity; full, viscous mouthfeel. Crisply chocolaty, fruity finish with a whisper of alcohol ferment.",$23.00/10 ounces,Colombia Tres Dragones,Bird Rock Coffee Roasters,Light,United States,Colombia,8.11,94,November 2022
5,"High-toned, crisply sweet-tart. Dried plum, baking","High-toned, crisply sweet-tart. Dried plum, baking chocolate, rhododendron, cedar, almond in aroma and cup. Sweetly tart with brisk acidity; velvety mouthfeel. The fruit-toned finish is supported by notes of cedar and baking chocolate.",NT $550/250 grams,Ethiopia Guji Hambela Wate Natural G1,Samlin Coffee,Medium-Light,Taiwan,Ethiopia,7.04,92,November 2022
6,"Crisply sweet, nut-toned. Almond brittle, pie cher","Crisply sweet, nut-toned. Almond brittle, pie cherry, magnolia, baking chocolate, mesquite in aroma and cup. Sweet structure with brisk acidity; very syrupy mouthfeel. The finish consolidates to notes of baking chocolate, pie cherry and mesquite.",$16.00/12 ounces,Finca Patzibir,El Gran Cafe,Medium-Light,Guatemala,Guatemala,4.7,92,November 2022
7,"Chocolaty, floral-framed. Cocoa nib, honeysuckle, ","Chocolaty, floral-framed. Cocoa nib, honeysuckle, date, almond butter, cedar in aroma and cup. Sweet structure with bright acidity; satiny-smooth mouthfeel. Cocoa nib and honeysuckle carry the finish, with hints of cedar underneath.",$10.00/12 ounces,Proyecto Aurora,El Gran Cafe,Medium-Light,Guatemala,Guatemala,2.94,93,November 2022
8,"High-toned, enticingly sweet. Black cherry, narcis","High-toned, enticingly sweet. Black cherry, narcissus, cashew butter, lemon verbena, juniper bark in aroma and cup. Sweet-tart structure with bright acidity; crisp, satiny-smooth mouthfeel. The finish leads with notes of black cherry and lemon verbena, rounding to creamy cashew in the long.",$10.00/12 ounces,Finca El Potrero,El Gran Cafe,Medium-Light,Guatemala,Guatemala,2.94,93,November 2022
9," Vibrantly sweet, subtly nuanced. Apricot, dark ch"," Vibrantly sweet, subtly nuanced. Apricot, dark chocolate, hazelnut, hyacinth, honey in aroma and cup. Sweetly tart structure with brisk acidity; smooth, syrupy mouthfeel. The chocolaty finish is supported by notes of apricot and hazelnut. ",$16.00/12 ounces,Chacayá Santiago Atitlán,El Gran Cafe,Medium-Light,Guatemala,Guatemala,4.7,93,November 2022
10,"Evaluated as espresso. Multi-layered, complex. Dar","Evaluated as espresso. Multi-layered, complex. Dark chocolate, dried apricot, star jasmine, cedar, hazelnut butter in aroma and small cup. Very syrupy mouthfeel; crisply fruit-toned finish. In three parts milk, chocolate and apricot notes are amplified, supported by spicy florals.",$20.00/12 ounces,Espresso No. 3,El Gran Cafe,Medium-Light,Guatemala,Guatemala,5.88,94,November 2022
11,"Crisply sweet, nut-toned. Nutella, peach, lime zes","Crisply sweet, nut-toned. Nutella, peach, lime zest, cedar, magnolia in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Gently drying, very sweet nut-toned finish. ",$16.50/12 ounces,Esperanza Villa Sarchi,El Gran Cafe,Medium-Light,Guatemala,Guatemala,4.85,92,November 2022
12,"Chocolate-toned, richly sweet-savory. Dark chocola","Chocolate-toned, richly sweet-savory. Dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. Bittersweet structure with gentle, rounded acidity; plush, syrupy mouthfeel. The quiet finish consolidates to crisp cocoa-toned cedar notes.",$5.00/12 ounces,5a Sur,El Gran Cafe,Medium,Guatemala,Guatemala,1.47,91,November 2022
13,"Chocolate-toned, richly sweet-savory. Dark chocola","Chocolate-toned, richly sweet-savory. Dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. Bittersweet structure with gentle, rounded acidity; plush, syrupy mouthfeel. The quiet finish consolidates to crisp cocoa-toned cedar notes.",$13.00/10 ounces,5a Sur,El Gran Cafe,Medium,Guatemala,Guatemala,1.47,91,November 2022
14,"Sweetly herb- and spice-toned. Lemon verbena, plum","Sweetly herb- and spice-toned. Lemon verbena, plum, clove, oak, maple syrup in aroma and cup. Sweetly tart structure with delicate acidity; crisp, silky mouthfeel. The finish leads with notes of lemon verbena and plum in the short, consolidating to fragrant oak in the long.",$5/12 ounces,5a Poniente,El Gran Cafe,Medium-Light,Guatemala,Guatemala,1.47,91,November 2022
15,"Evaluated as espresso. Richly sweet, deeply chocol","Evaluated as espresso. Richly sweet, deeply chocolaty, gently smoky. Persimmon, dark chocolate, almond butter, gardenia, gently scorched oak in aroma and small cup. Crisp, velvety mouthfeel; resonant finish centered around chocolate and almond notes with a hint of scorched oak. In cappuccino-scaled milk, chocolate and almond notes are highlighted with sweet persimmon as backdrop.",$10.00/16 ounces,Single-Origin Espresso,Guorizi Zhai Coffee,Medium,Taiwan,Colombia,6.61,93,December 2019
16,"Evaluated as espresso. Richly sweet, deeply chocol","Evaluated as espresso. Richly sweet, deeply chocolaty, gently smoky. Persimmon, dark chocolate, almond butter, gardenia, gently scorched oak in aroma and small cup. Crisp, velvety mouthfeel; resonant finish centered around chocolate and almond notes with a hint of scorched oak. In cappuccino-scaled milk, chocolate and almond notes are highlighted with sweet persimmon as backdrop.",$15.00/8 ounces,Single-Origin Espresso,Guorizi Zhai Coffee,Medium,Taiwan,Colombia,6.61,93,December 2019
17,"Floral-toned, richly fruity. Narcissus, watermelon","Floral-toned, richly fruity. Narcissus, watermelon candy, dark chocolate, amber, clove in aroma and cup. Sweet-savory structure with winey acidity; very full, syrupy mouthfeel. Resonant, long, flavor-laden finish.",$10.00/4 ounces,Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot,Euphora Coffee,Light,Taiwan,Ethiopia,8.82,95,October 2022
