,Unnamed: 0,name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review,Fruity_count,Tropical_count,Citrusy_count,Woody_count,Berry_count,Sweet_count,Candy_count,Nutty_count,Creamy_count,Herbal_count,Chocolaty_count,Floral_count,Texture_count,Character_count,Acidity / Spicy_count,max_match_key,Fruity,Tropical,Citrusy,Woody,Berry,Sweet,Candy,Nutty,Creamy,Herbal,Chocolaty,Floral,Texture,Character,Acidity / Spicy
75,75,Finca La Maria Geisha Natural,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,22.49,95,April 2018,"Lush, high-toned, richly sweet. Apricot, bergamot zest, nougat, sandalwood, honeysuckle in aroma and cup. Deeply sweet in structure, with juicy, bright acidity; plump, syrupy mouthfeel. The finish is seemingly eternal, resonant with all the flavor notes from the cup: stone fruit, citrus zest, nutty caramel, aromatic wood and sweet florals.",4,0,1,2,0,3,2,2,0,0,0,2,1,1,1,Fruity,4,0,1,2,0,3,2,2,0,0,0,2,1,1,1
124,124,Static Chirinos Peru,Espresso Republic,Medium-Light,United States,Peru,4.1,90,August 2018,"Richly low-toned, gently zesty. Cedar, baker’s chocolate, grapefruit zest, apple, a hint of magnolia-like flowers in aroma and cup. Sweetly and quietly tart in structure, with a brisk edge. Plump mouthfeel. Flavor consolidates in a sweet, though rather drying, finish.",4,0,1,1,0,1,0,0,0,0,1,2,1,0,1,Fruity,4,0,1,1,0,1,0,0,0,0,1,2,1,0,1
325,325,Gesha Village 1931 Lot 27,Mudhouse Coffee Roasters,Medium-Light,United States,Ethiopia,22.05,94,September 2019,"Richly sweet-savory, deeply floral-toned. Honeysuckle, bergamot, toffee, myrrh, a hint of fresh coriander in aroma and cup. Balanced, structure (sweet-savory) with citrusy acidity; plump, satiny mouthfeel. The finish consolidates around notes of honeysuckle and myrrh with a hint of toffee in the long.",4,0,2,0,0,1,1,0,0,0,0,1,0,1,1,Fruity,4,0,2,0,0,1,1,0,0,0,0,1,0,1,1
119,119,YCFCU Banko Gotiti Coop G1,Taokas Coffee,Medium-Dark,Taiwan,Ethiopia,6.02,95,August 2018,"Evaluated as espresso. Lush, complex, richly sweet-savory. Peach, fine musk, cocoa powder, freesia-like flowers, pungent frankincense in aroma and small cup. Plump, syrupy mouthfeel; clean, crisp, cocoa-toned finish. The cocoa notes from the small cup bloom into dark chocolate in cappuccino-scaled milk, nicely complicated by flowers and frankincense.",3,0,0,0,0,2,0,0,1,2,2,1,1,1,1,Fruity,3,0,0,0,0,2,0,0,1,2,2,1,1,1,1
1059,1059,Colombia Ibague Tolima,Jaunt Coffee Roasters,Light,United States,Colombia,7.64,94,April 2022,"Delicately fruity, sweetly herbaceous. Lemon-thyme, dried apricot, hazelnut butter, fresh-cut oak, cocoa nib in aroma and cup. Gently tart with wine-toned acidity; full, syrupy mouthfeel. The finish consolidates to notes of cocoa-toned lemon-thyme.",3,0,1,1,1,3,0,2,1,2,1,0,1,0,1,Fruity,3,0,1,1,1,3,0,2,1,2,1,0,1,0,1
331,331,Murang’a Kenya Espresso,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.5,93,August 2019,"Briskly and richly pungent. Dark chocolate, date, cherry tomato, violet, hints of herbs and spices (sage, cumin, cinnamon) in aroma and small cup. Light and silky, though gently drying mouthfeel. Crisp, quietly resonant finish. Distinctively tart, floral-toned and rich in three parts milk.",3,0,0,0,0,1,0,0,1,1,1,2,3,0,2,Fruity,3,0,0,0,0,1,0,0,1,1,1,2,3,0,2
132,132,Esmeralda Estate Panama Geisha,Difference Coffee,,England,Panama,111.11,94,August 2018,"Evaluated as espresso produced as a ristretto 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Sweetly bright, intricate, original. Peach, sandalwood, lemon tart, baker’s chocolate, rhododendron-like flowers in aroma and small cup. Delicately plump in mouthfeel; long, resonant, peach- and lemon-saturated finish. Remains crisply tart in three parts milk, with flavor consolidating around a subtle, elegant dry chocolate.  ",3,0,1,2,0,1,0,0,1,0,1,2,4,1,0,Texture,3,0,1,2,0,1,0,0,1,0,1,2,4,1,0
668,668,Peru Wilmer Alarcon Mirez,Big Shoulders Coffee,Medium-Light,United States,Peru,6.47,93,December 2020,"Richly aromatic, chocolaty. Dark chocolate, Bing cherry, pink grapefruit zest, lily, fresh-cut oak in aroma and cup. Crisply sweet with brisk acidity; plush, creamy mouthfeel. The finish consolidates to chocolate-covered cherry with lily undertones.",3,0,1,1,0,0,0,0,1,0,2,1,2,1,1,Fruity,3,0,1,1,0,0,0,0,1,0,2,1,2,1,1
947,947,Ethiopia Washed Sidama Bensa Bombe,Kakalove Cafe,Light,Taiwan,Ethiopia,5.31,94,December 2021,"Delicately sweet-tart, rich-toned. Dried apricot, dark chocolate, cashew butter, plumeria, pink grapefruit zest in aroma and cup. Sweet structure with tart, juicy",3,0,1,1,0,1,0,1,1,0,1,0,2,0,0,Fruity,3,0,1,1,0,1,0,1,1,0,1,0,2,0,0
267,267,Sumatra Pantan Musara,Paradise Roasters,Medium-Light,United States,Indonesia,5.86,93,April 2019,"Richly and vivaciously sweet-savory. Pipe tobacco, date, grapefruit zest, spearmint, rose-like flowers in aroma and cup. Sweetly tart and deeply savory, almost meaty in structure. Syrupy but crisply drying mouthfeel. Flavor consolidates around grapefruit, spearmint and rose in a savory-bottomed, lasting finish.",3,0,1,0,0,3,0,0,0,2,0,2,3,0,0,Fruity,3,0,1,0,0,3,0,0,0,2,0,2,3,0,0
