,review
0,crisply sweet cocoa toned lemon blossom roasted cacao nib date rice candy white peppercorn in aroma and cup savory tart structure delicate silky mouthfeel the richly drying finish leads with cocoa toned crisply sweet floral notes in the short and a hint of spice white peppercorn in the long
1,delicate sweetly spice toned pink peppercorn date myrrh lavender roasted cacao nib in aroma and cup crisp spice toned structure with citrus like acidity satiny very smooth mouthfeel the crisply sweet finish centers around spice and pungent floral notes
2,deeply sweet subtly pungent honey pear tangerine zest dark chocolate pistachio in aroma and cup sweet and juicy yet crisp in structure think ripe pear plush and buoyant in mouthfeel resonant and flavor saturated in the short finish simplifies around hints of tangerine and pistachio in the long
3,delicate richly and sweetly tart dried hibiscus fine musk almond sandalwood raspberry in aroma and cup fruit toned deeply sweet structure with gently expressed acidity buoyant satiny smooth mouthfeel the crisp flavor saturated finish is characterized by sweet tart fruit and floral tones raspberry hibiscus
4,high toned floral dried apricot magnolia almond butter maple syrup cherry brandy in aroma and cup crisp sweetly tart in structure plush syrupy mouthfeel notes of magnolia and dried apricot dominate in the flavor laden short finish with hints of almond butter and fruit brandy in the long
5,very delicate sweetly savory lemon verbena allspice dried persimmon dogwood baker s chocolate in aroma and cup balanced sweet savory structure velvety smooth mouthfeel the sweetly herb toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker s chocolate
6,high toned crisply sweet lemon blossom apricot frankincense spearmint roasted cacao nib in aroma and cup balanced complete sweet savory structure satiny full mouthfeel sweet spearmint notes carry the cocoa toned finish with hints of lemon blossom and apricot
7,balanced sweet savory red currant roasted cacao nib clove blood orange zest frankincense in aroma and cup savory sweet structure with lively acidity syrupy mouthfeel the resonant spice toned finish leads with intimations of clove and roasted cacao nib in the short rounding to rich fruit tones with hints of frankincense in the long
8,surprising and melodic delicate yet vivid lilac and lemon blossom fresh sweet grass honey moist pipe tobacco fresh cut elm in aroma and cup in structure subtly and sweetly tart very light silky mouthfeel unexpectedly rich and flavor saturated in the finish pipe tobacco honey lemon blossom
9,delicate gently tart spice toned pomegranate cocoa powder lemon blossom white peppercorn hazelnut in aroma and cup lively quietly complex structure crisp buoyant mouthfeel the finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa toned citrus blossoms in the long
10,rich sweet toned balanced nougat pink peppercorn lemongrass roasted cacao nib tea rose in aroma and cup floral toned bittersweet structure delicate satiny mouthfeel notes of aromatic wood and spice toned florals carry the gently drying finish
11,crisply sweet multi faceted candied violet dark chocolate pungent juniper wood grapefruit zest mango in aroma and cup sweetly tart structure with juicy acidity satiny mouthfeel the resonant finish centers around mango and violet in the short and dark chocolate in the long with a hint of aromatic wood
12,spectacularly sweet and hugely aromatic meyer lemon marmalade cedar pistachio guava jasmine in aroma and cup crisply sweet tart and massively juicy in structure plush buoyant mouthfeel the juicy structure and complex aromatics persist in a long lingering finish
13,crisply sweet savory lavender roasted cacao nib strawberry guava hazelnut toasted barley in aroma and cup sweetly floral structure with savory undertones crisp velvety mouthfeel the cocoa toned finish leads with spicy florals and tropical fruit in the short grounded by pleasing notes of toasted barley in the long
14,sweetly pungent gently roasty scorched cedar dark chocolate plum lavender lime zest in aroma and cup complex in structure sweetly tart with a roasty savory depth light satiny mouthfeel lemon zest dark chocolate plum carry into a rich though drying finish
15,elegant deep sweetly savory jasmine sandalwood plum nutella like nut and cocoa tangerine zest in aroma and cup high toned balanced structure with citrusy acidity syrupy smooth mouthfeel the finish is long resonant and flavor saturated carrying through on the promise of the cup
16,bright richly sweet complex red currant lilac dark chocolate lime zest redwood in aroma and cup sweetly savory in structure with juicy acidity plush syrupy mouthfeel the balanced finish is resonant with notes of red currant and dark chocolate with hints of lime zest
17,delicately sweet and balanced with a subtle hint of fermented fruit peach sweet chocolate sandalwood honeysuckle almond in aroma and cup gently and sweetly bright in structure light yet satiny in mouthfeel quiet but resonantly long finish peach chocolate almond
18,deeply and pungently sweet tart lavender grapefruit zest sandalwood blackberry a hint of baker s chocolate in aroma and cup simultaneously brightly tart and deeply savory in structure lightly syrupy plush mouthfeel grapefruit zest and blackberry carry into a crisply resonant finish
19,sweet spice toned pungent hazelnut cocoa ripe cantaloupe tangerine zest a hint of cinnamon in aroma and cup complexly structured very sweet gently tart slightly bitterish syrupy and full in mouthfeel cocoa and tangerine carry into a deep long finish
20,delicate sweetly tart strawberry caramel musk cocoa butter magnolia in aroma and cup quietly tart leaning structure with sweet undertones plush syrupy body the perfumy almost musk like finish is characterized by tart fruit notes in the short and cocoa butter in the long
21,deeply sweet fruit and cocoa toned baker s chocolate dried coconut tea rose almond cedar in aroma and cup fruit toned structure with round gentle acidity crisp though syrupy mouthfeel the spice toned finish suggests homemade fruitcake with notes of dried fruit nuts and warming spices
22,deeply sweet chocolate toned dark chocolate brazil nut gardenia baked apple cedar in aroma and cup roundly sweet in structure lean lightly syrupy body the gently drying finish is characterized by notes of dark chocolate throughout supported by gardenia and apple tones in the short and cedar in the long
23,richly sweet fruit toned dried strawberry dark chocolate freesia like flowers tangerine zest a hint of aged rum in aroma and cup sweetly round in structure syrupy mouthfeel the finish is crisply and richly drying with lingering hints of aged rum enveloped by dark chocolate
24,intensely sweet intricately rich pink grapefruit zest blackberry fresh pipe tobacco lavender baker s chocolate in aroma and cup balanced sweet savory structure crisp satiny buoyant mouthfeel the resonant finish leads with notes of berry and citrus zest in the short rounding to chocolate in the long with spicy florals throughout
25,crisp sweet savory mulberry pink peppercorn maple syrup gardenia cedar in aroma and cup crisply sweet savory in structure viscous velvety mouthfeel the rich though drying finish centers around spicy florals and berry tones in the short and notes of aromatic wood and maple syrup in the long
26,crisp sweetly tart dark chocolate pie cherry cedar honey magnolia in aroma and cup bittersweet in structure with crisp citrus like acidity velvety mouthfeel the finish consolidates to honey toned stonefruit in the short and dark chocolate in the long
