,name,desc_sub,location,origin,roast,est_price,review_date,agtron,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3
0,Static Colombia Decaf Midnight,"Deeply sweet, chocolate-toned. Dark chocolate, Bra","Chino, California","Huila, Colombia",Medium,$16.95/12 ounces,December 2017,48/58,8.0,8.0,8.0,8.0,7.0,,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, supported by gardenia and apple tones in the short and cedar in the long. ","Decaffeinated at the Descamex plant in Mexico by the “Mountain Water Process” which does not involve use of solvents. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A solid, chocolate-toned decaf with inviting fruit and floral tones."
1,Diima #9 Ethiopia Natural,"Richly sweet, fruit-toned. Dried strawberry, dark ","Spokane, Washington","Yirgacheffe growing region, southern Ethiopia",Medium-Light,$25.00/12 ounces,December 2017,56/84,9.0,8.0,9.0,9.0,8.0,,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure; syrupy mouthfeel. The finish is crisply and richly drying with lingering hints of aged rum enveloped by dark chocolate. ","This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is less predictable and deeper than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Like virtually all southern Ethiopia coffees, produced by villagers on small, garden plots interplanted with food and other subsistence crops. Roast House is a small-batch, quality-focused roaster specializing in farm-direct organic-certified and Fair Trade Certified coffees. Visit roasthousecoffee.com or call 509-995-6500 for more information.","This natural-processed Yirgacheffe’s hint of sweet, rum-like fruit ferment gives the cup a distinct holiday feel.Click here for more information about coffees from Ethiopia."
2,Kenya Thaitu,"Intensely sweet, intricately rich. Pink grapefruit","Louisville, Kentucky","Nakuru County, south-central Kenya",Medium-Light,$22.00/12 ounces,December 2017,54/78,9.0,9.0,9.0,9.0,9.0,,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; crisp, satiny, buoyant mouthfeel. The resonant finish leads with notes of berry and citrus zest in the short, rounding to chocolate in the long, with spicy florals throughout.","This coffee tied for the second-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Produced by Thaitu Coffee Estate from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Good Folks Coffee is a wholesale roaster based in Louisville, Kentucky. Visit www.goodfolkscoffee.com for more information.","A spice-toned, floral- and fruit-driven Kenya coffee, grounded by rich chocolate notes with hints of sweet pipe tobacco.Click here for more information about coffees from Kenya."
3,Yule Blend 2018,"Crisp, sweet-savory. Mulberry, pink peppercorn, ma","Bedford, New Hampshire","Kirinyaga District, south-central Kenya",Medium-Light,$15.00/12 ounces,December 2017,56/80,9.0,9.0,9.0,9.0,8.0,,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure; viscous, velvety mouthfeel. The rich though drying finish centers around spicy florals and berry tones in the short and notes of aromatic wood and maple syrup in the long.","This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. A blend of Kenya coffees from two different cooperatives, Kamwangi and Kainamui, both produced from trees of the SL28 and Ruiru 11 varieties of Arabica. Flight Coffee (formerly CQ Coffee Roasters) is a coffee-loving, quality-focused roasting company based in Bedford, New Hampshire.Visit www.flightcoffeeco.com or call 603-836-6228 for more information.","A balanced, savory-leaning and richly sweet blend of two quality coffees from Kenya, netting a vibrantly high-toned, spice-driven cup."
4,Ethiopia Banko Gotiti Natural G1,"Crisp, sweetly tart. Dark chocolate, pie cherry, c","Taipei, Taiwan","Kochere, Yirgacheffe growing region, south-central Ethiopia",Light,NT $580/220 grams,December 2017,58/86,9.0,9.0,9.0,9.0,8.0,,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity; velvety mouthfeel. The finish consolidates to honey-toned stonefruit in the short and dark chocolate in the long.","This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees.  Green Stone Coffee is a woman-owned artisan roastery in Taipei, founded in 2016 and specializing in sourcing distinctive coffees that express their individual terroirs. Visit http://www.greenstone-coffee.com.tw/en/info.html for more information.","An inviting natural-processed coffee from Ethiopia: sweetly tart, fruit-forward.Click here for more information about coffees from Ethiopia."
5,Panama Auromar Geisha Natural,"Complex, uniquely sweet, tropical. Plumeria, roast","Branford, Connecticut","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,$55.00/12 ounces,December 2017,56/80,10.0,9.0,9.0,9.0,9.0,,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity; syrupy mouthfeel. The finish carries through on the promise of the cup, with rich florals in the short and deep fruit notes in the long, where a new element, a soft fruit tone suggesting coconut, surfaces.","This exceptional coffee was selected as the No. 8 coffee on Coffee Review’s list of the Top 30 Coffees of 2017, and it earned the highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.","A dynamic coffee with complex aromatics that invoke the tropics—and a seemingly infinite finish, richly sweet and flavor-saturated."
6,Panama Elida Green Tip Gesha Natural,"Spice-toned, richly sweet. Raspberry, dark chocola","San Rafael, California","Boquete growing region, western Panama",Medium-Light,$37.00/4 ounces,December 2017,53/77,9.0,9.0,8.0,9.0,9.0,,"Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure; full, satiny mouthfeel. The resonant, flavor-saturated finish is characterized by notes of rich chocolate with berry and bittersweet citrus complications.","This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Produced entirely from trees of the respected Catuai variety of Arabica. The Lamastus family’s Elida Estate averages the highest growing elevations in Panama: 5,500 to 8,200 feet (1,700 to 2,500 meters). This is a “natural” or dry-processed coffee, meaning the beans were dried inside the fruit, encouraging a flavor profile that is sweeter and deeper-toned than the more familiar wet-processed coffees of Panama. Founded in 1995, Equator Coffees & Teas is a women-owned wholesale coffee roasting company that focuses on sustainability in coffee-sourcing and business practices. Visit www.equatorcoffees.com or call 800-809-7687 for more information.","An elegant, richly sweet natural-processed Panama Gesha with berry and chocolate notes throughout."
7,Estate Medium Roast,"Deeply sweet, delicately zesty, complexly fruit- a","Pahala, Hawaii","Ka'u growing region, Big Island of Hawaii",Medium-Light,$29.48/8 ounces,January 2018,61/77,9.0,8.0,8.0,9.0,9.0,,"Deeply sweet, delicately zesty, complexly fruit- and floral-toned. Peach, grapefruit zest, alyssum-like flowers, dark chocolate, cinnamon in aroma and cup. Sweetly tart in structure, with a deepening savory-bitter edge. Light, satiny mouthfeel; flavor saturates a deep, richly floral and chocolate-toned finish.","Ka’u is an emerging Hawaii coffee-growing district centered approximately 30 miles southeast of the famous Kona region. This Ka’u is produced by the Palehua Ohana Cooperative of small-holding Ka’u farmers, an organization dedicated to impeccable socio-economic and environmental practices. It was processed using the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Visit www.kauspecialtycoffee.com for more information.",A coffee both classic in its crisp clarity and subtly original in its high-toned fruit and floral aromatics.Click here for more information about coffees from Hawaii.
8,Ethiopia Holy Grail Natural Yirgacheffe,Evaluated as espresso. Crisply sweet-tart. Frangip,"Taoyuan City, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium,NT $2500/16 ounces,January 2018,47/69,9.0,,9.0,9.0,7.0,9.0,"Evaluated as espresso. Crisply sweet-tart. Frangipane, dark chocolate, cedar, tamarind, jasmine in aroma and small cup. Crisp, velvety mouthfeel; nut-toned, richly tannic finish. In cappuccino-scaled milk, invitingly bittersweet, with notes of dark chocolate and jasmine in harmony.","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is less predictable and deeper than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Like virtually all southern Ethiopia coffees, produced by villagers on small, garden plots interplanted with food and other subsistence crops. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high quality single-origin coffees. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.","In the straight shot, dark chocolate and tart fruit reign; in milk, spicy floral notes wrapped in chocolate carry the day.Click here for more information about coffees from Ethiopia."
9,Blue Label La Esmeralda Porton Pascua Gesha,"Richly sweet, crisply complex, spice-toned. Lilac,","Topeka, Kansas","Boquete growing region, western Panama",Medium-Light,$60.00/8 ounces,December 2017,53/85,9.0,9.0,9.0,9.0,9.0,,"Richly sweet, crisply complex, spice-toned. Lilac, bergamot, white peach, caramelized walnut, sandalwood in aroma and cup. Delicate, sweetly tart, juicy in structure; crisp, satiny mouthfeel. The quietly resonant finish is flavor-saturated: stonefruit and bergamot carry the short and sandalwood-nuanced lilac notes resurface in the long.","Coffee from trees of the botanical variety Gesha (also Geisha) grown on Price Peterson’s Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. With its bold, boat-shaped beans and distinctive floral and crisply cacao-toned cup, the Gesha continues to be one of the world’s most sought-after coffees, and the Esmeralda versions remain among the most authentic. This is a wet-processed or “washed” version, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.",A symphonic Gesha cup: high-toned fruit and flowers are supported by spice and aromatic wood.
