,coffee_name,rating,rating_cat,est_price,aftertaste,aroma,body,flavor,agtron,blind_assessment,coffee_origin,notes,roast_level,roaster,roaster_location,url,clusters,max_match_key,Fruity,Tropical,Citrusy,Woody,Berry,Sweet,Candy,Nutty,Creamy,Herbal,Chocolaty,Floral,Texture,Character,Acidity / Spicy,Delicate,Bold,score
29,Ethiopia Anasora Extended Natural Special Lot,94,Very Good to Outstanding,NT $880/200 grams,8,9,9,9,60/76,"Juicy, bright, fruit- and floral-toned, savory-edged. Shitake mushroom, dark chocolate, grape candy, wisteria, amber in aroma and cup. Sweet-tart structure with cola-like acidity; plush, syrupy mouthfeel. Long, lingering, flavor-saturated finish.","Guji Zone, Oromia Region, Southern Ethiopia","Produced by smallholding farmers largely from local landrace varieties of Arabica, and processed at the Anasora Washing Station owned by Isreal Degefa utilizing a proprietary anaerobic natural method (whole fruit is fermented with limited oxygen before drying). Quartet Kaffe is an artisan roastery in Taiwan founded in 2018, dedicated to pursuing coffee performance art and offering unique specialty coffee. Visit www.facebook.com/QuartetKaffe for more information.",Medium-Light,Quartet Kaffe,"Taipei, Taiwan",https://www.coffeereview.com/review/ethiopia-anasora-extended-natural-special-lot/,0,Sweet,1,0,1,1,0,3,1,0,0,1,1,1,1,1,1,1,1,2
48,El Salvador El Mirador,93,Very Good to Outstanding,$20.95/12 ounces,8,9,9,9,60/77,"Rich-toned, deeply sweet. Salted caramel, pomegranate, almond butter, narcissus, pink grapefruit zest in aroma and cup. Sweetly savory structure with citrusy acidity; plush, syrupy mouthfeel. Crisp, focused finish centered around notes of salted caramel and almond.","Apaneca-Ilamatepec growing region, El Salvador","Produced by Jancarlo and Sofia Handtke of Mapache Estate entirely of the big-beaned Pacamara variety of Arabica, and processed by the natural method (dried in the whole fruit). Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.",Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia",https://www.coffeereview.com/review/el-salvador-el-mirador/,0,Citrusy,1,1,3,0,0,2,1,1,1,1,0,0,1,0,2,0,1,2
60,Nano Genji #7,95,Exceptional,$19.00/12 ounces,9,9,9,9,58/78,"Richly sweet, floral- and fruit-toned. Apricot, star jasmine, almond nougat, lemon balm, sandalwood in aroma and cup. Sweetly tart structure with delicately bright acidity; plush, syrupy mouthfeel. Long, lingering, flavor-laden finish.","Agaro Gera, Jimma Zone, Oromia State, Ethiopia","Produced by the Nano Genji cooperative in Ethiopia’s Jimma Zone. Ethiopia coffees like this one are produced largely from local, indigenous varieties of Arabica. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Certified organic. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/nano-genji-7/,0,Sweet,1,0,1,2,0,3,1,1,0,1,0,2,1,0,1,1,0,2
72,Ethiopia Botabaa,93,Very Good to Outstanding,NT $400/16 ounces,8,9,8,9,60/80,"Round, deep, yet delicately lively, sweetly nut-toned. Roasted pistachio, caramel, date, lime, freesia in aroma and cup. Complexly layered structure with light-footed, engaging acidity; lightly satiny mouthfeel. Long, layered finish: lime and caramel.","Kochere District, Gedeo Zone, Ethiopia","Southern Ethiopia produces distinctive coffees from largely indigenous, traditional selections of Arabica long grown in the region. Coffees like this one, processed by the traditional wet or washed method (fruit skin and pulp is removed before drying), typically express great aromatic complexity and intensity. Evie’s Café, based in Chia-Yi Taiwan, specializes in fine roasted coffees as well as pour-overs and cold brews. Visit https://m.facebook.com/eviescafe88/ for more information.",Medium-Light,Evie's Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/ethiopia-botabaa/,2,Delicate,1,0,1,0,0,0,1,2,0,1,0,0,1,2,1,3,1,2
77,Colombia FUDAM Nariño,94,Very Good to Outstanding,$18.50/12 ounces,8,9,9,9,62/80,"High-toned, richly sweet-tart. Red plum, almond nougat, marjoram, cedar, star jasmine in aroma and cup. Brightly sweet with high-toned acidity; syrupy-smooth mouthfeel. The finish leads with notes of star jasmine, rounding to almond nougat in the long.","La Union, Nariño, Colombia","Produced by smallholding members of Fundación Agraria y Ambiental Para el Desarrollo Sostenible (FUDAM) from trees of the Caturra and Castillo varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.",Light,Roadmap CoffeeWorks,"Lexington, Virginia",https://www.coffeereview.com/review/colombia-fudam-narino-2/,0,Sweet,1,0,0,1,0,3,1,1,0,1,0,1,1,0,1,1,0,2
98,El Duende Peru,94,Very Good to Outstanding,$17.00/12 ounces,8,9,9,9,58/76,"Balanced, deep, floral-toned. Wisteria, cocoa nib, almond nougat, white peach, cedar in aroma and cup. Sweet structure with gently bright, vibrant acidity; full, buttery mouthfeel. The crisp finish centers around notes of wisteria and cocoa nib.","Huarango, San Ignacio, Cajamarca growing region, Peru","Produced by Salvador Cruz Rimarachin of El Duende Farm from trees of the Yellow Caturra, Mundo Novo and Typica varieties of Arabica, and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information. ",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/el-duende-peru/,0,Fruity,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,2
122,Ecuador Pichincha Finca Flora,93,Very Good to Outstanding,NT $450/8 ounces,8,9,9,9,65/82,"Delicately rich, vibrantly sweet-savory. Wisteria, dark chocolate, lychee, candied orange zest, allspice in aroma and cup. Sweetly tart structure with full, syrupy mouthfeel. The long finish consolidates to notes of wisteria and allspice.","Pichincha Province, Ecuador","Produced at Finca Flora entirely of the Typica variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Chousin Coffee Collection is a specialty coffee roaster and cafe in Xinbei, Taiwan. Visit www.facebook.com/kaffee.collection for more information.",Light,Chousin Coffee Collection,"Xinbei, Taiwan",https://www.coffeereview.com/review/ecuador-pichincha-finca-flora/,0,Sweet,1,1,1,0,0,3,1,0,0,1,1,0,1,0,1,1,0,2
124,Espresso Nuevo,93,Very Good to Outstanding,$19.00/12 ounces,8,9,8,9,52/70,"Evaluated as espresso. Deeply chocolaty, sweetly earthy. Dark chocolate, date, graphite, lemon verbena, candied violet in aroma and small cup. Crisp, satiny mouthfeel; richly chocolaty and gently herbaceous finish. Chocolate takes the stage in cappuccino-scaled milk, with support from notes of date and lemon verbena.",Thailand; Vietnam; Latin America,"A blend of Arabica coffees from Thailand, Vietnam and Latin America designed as a dark-end-of-medium espresso ideal for milk drinks. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/espresso-nuevo-6/,2,Herbal,1,0,1,1,0,0,1,0,1,2,2,2,1,1,0,1,1,3
130,Kahiko,96,Exceptional,$47.95/8 ounces,9,9,9,10,56/74,"Richly chocolaty, harmoniously juicy and bright. Dark chocolate fudge, pomelo, star jasmine, cedar, marjoram in aroma and cup. Sweet-savory structure with complex, bittersweet acidity; full, creamy mouthfeel. Resonant, long, flavor-laden finish.","Holualoa, North Kona growing district, “Big Island” of Hawai’i","This exceptional coffee was selected as the No. 6 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. Produced entirely from trees of the Kona Typica variety of Arabica and grown on Hula Daddy’s lower-elevation farm; processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500-foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. Visit www.huladaddy.com or call 808-327-9744 for more information.

 ",Medium-Light,Hula Daddy Kona Coffee,"Holualoa, Hawaii",https://www.coffeereview.com/review/kahiko/,0,Chocolaty,0,0,1,1,0,0,1,0,1,1,2,1,1,1,2,1,1,2
136,Ethiopia Guji Uraga More Floral Kudume Natural,94,Very Good to Outstanding,NT $550/200 grams,8,9,9,9,62/77,"Richly bittersweet, complex, fruit-driven. Chocolate fudge, dried apricot, candied mandarin zest, pistachio brittle, narcissus in aroma and cup. Invitingly bittersweet structure with high-toned, lively acidity; crisp, satiny mouthfeel. The finish centers around notes of chocolate fudge and dried apricot, with undertones of bittersweet mandarin zest into the long. ","Guji Zone, Oromia Region, Southern Ethiopia","Produced in the Guji growing region, entirely of the Kudume variety of Arabica, and processed by the natural method (dried in the whole fruit). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected]",Medium-Light,GK Coffee,"Yilan, Taiwan",https://www.coffeereview.com/review/ethiopia-guji-uraga-more-floral-kudume-natural/,0,Candy,1,0,0,0,0,0,2,1,0,1,1,0,1,2,2,1,2,3
